date,buy,sell,net
2026-06-03,17589.07,22737.25,-5148.18
2026-06-02,17474.77,25538.44,-8063.67
2026-06-01,18424.46,22267.85,-3843.39
2026-05-29,93095.23,115196.98,-22101.75
2026-05-27,13383.3,12709.53,673.77
2026-05-26,13463.99,16310.05,-2846.06
2026-05-25,12847.68,10732.31,2115.37
2026-05-22,10113.26,15428.06,-5314.8
2026-05-21,12520.75,14311.22,-1790.47
2026-05-20,14134.31,16411.61,-2277.3
2026-05-19,17539.77,21184.29,-3644.52
2026-05-18,17258.87,15092.18,2166.69
2026-05-15,16891.16,14917.73,1973.43
2026-05-14,17125.05,16024.69,1100.36
2026-05-13,14586.99,18611.33,-4024.34
2026-05-12,16452.91,17254.28,-801.37
2026-05-11,13047.84,20875.62,-7827.78
2026-05-08,15401.42,16793.6,-1392.18
2026-05-07,18514.38,18583.69,-69.31
2026-05-06,14755.62,20453.23,-5697.61
2026-05-05,10454.53,13853.56,-3399.03
2026-05-04,20125.62,17156.6,2969.02
2026-04-30,15512.66,23548.35,-8035.69
2026-04-29,15631.59,17539.79,-1908.2
2026-04-28,17440.25,19413.63,-1973.38
2026-04-27,11615.65,15880.97,-4265.32
2026-04-24,10023.81,18745.46,-8721.65
2026-04-23,12943.63,15453.59,-2509.96
2026-04-22,14497.08,15925.35,-1428.27
2026-04-21,14437.01,14441.8,-4.79
2026-04-20,13408.15,12900.77,507.38
2026-04-17,17305.92,15239.32,2066.6
2026-04-16,16593.92,15134.74,1459.18
2026-04-15,19482.84,17007.01,2475.83
2026-04-13,15707.55,17174.35,-1466.8
2026-04-10,18906.83,17399.81,1507.02
2026-04-09,16521.23,18586.11,-2064.88
2026-04-08,20151.81,21487.34,-1335.53
2026-04-07,9248.6,16153.12,-6904.52
2026-04-06,8958.33,17600.09,-8641.76
2026-04-02,11774.71,21343.5,-9568.79
2026-04-01,40564.17,60953.73,-20389.56
2026-03-30,0.0,0.0,0.0
2026-03-27,21992.77,26082.07,-4089.3
2026-03-25,14957.33,16847.82,-1890.49
2026-03-24,13385.47,21036.39,-7650.92
2026-03-23,10543.72,22002.09,-11458.37
2026-03-20,28683.44,35624.52,-6941.08
2026-03-19,23627.01,34700.29,-11073.28
2026-03-17,12204.36,16488.29,-4283.93
2026-03-16,12106.63,21513.41,-9406.78
2026-03-13,12719.21,23652.29,-10933.08
2026-03-12,16022.36,23333.46,-7311.1
2026-03-11,12624.03,18535.93,-5911.9
2026-03-10,13802.03,19445.83,-5643.8
2026-03-09,11680.0,18257.66,-6577.66
2026-03-06,15103.7,21483.35,-6379.65
2026-03-05,15785.33,19226.38,-3441.05
2026-03-04,20081.63,29369.68,-9288.05
2026-03-02,13302.63,16373.18,-3070.55
2026-02-27,38228.4,45060.35,-6831.95
2026-02-26,15463.29,17950.44,-2487.15
2026-02-25,17748.58,16673.11,1075.47
2026-02-24,21229.46,18365.84,2863.62
2026-02-23,15906.36,11518.62,4387.74
2026-02-20,11662.33,11897.36,-235.03
2026-02-19,18798.29,16859.38,1938.91
2026-02-17,9401.23,7765.22,1636.01
2026-02-16,9814.53,10034.14,-219.61
2026-02-13,15180.12,22487.69,-7307.57
2026-02-12,19013.5,18136.98,876.52
2026-02-11,18358.34,16259.66,2098.68
2026-02-10,17739.84,17559.56,180.28
2026-02-09,17750.23,14052.67,3697.56
2026-02-06,18476.09,14964.45,3511.64
2026-02-05,15752.21,17114.84,-1362.63
2026-02-04,20091.35,19075.05,1016.3
2026-02-03,29298.71,21923.27,7375.44
2026-02-02,15881.85,17002.06,-1120.21
2026-01-30,0.0,0.0,0.0
2026-01-29,21331.88,21447.7,-115.82
2026-01-28,25520.68,21123.98,4396.7
2026-01-27,28474.27,33615.23,-5140.96
2026-01-23,14790.95,18003.95,-3213.0
2026-01-22,17578.37,19831.56,-2253.19
2026-01-21,16136.51,17128.74,-992.23
