date,instrument,buy_contracts,buy_amt,sell_contracts,sell_amt,oi_contracts,oi_amt,net
2026-06-04,Index Futures,19659,3053.1,24974,3851.22,320910,50027.74,-798.12
2026-06-04,Index Options,4673448,716383.94,4717228,723226.26,2625630,405394.8,-6842.32
2026-06-04,Stock Futures,281654,17752.29,283656,17978.83,7300478,451798.42,-226.54
2026-06-04,Stock Options,302742,19324.74,302537,19140.36,742672,46210.94,184.38
2026-06-03,Index Futures,30303,4699.11,59460,9118.9,311155,48524.5,-4419.79
2026-06-03,Index Options,5732201,880165.31,5660862,868752.84,2493813,385015.58,11412.47
2026-06-03,Stock Futures,358715,22279.77,402712,24013.83,7283224,450335.53,-1734.06
2026-06-03,Stock Options,400800,24952.46,390599,24344.52,695353,43114.5,607.94
2026-06-02,Index Futures,20005,3124.78,26921,4165.94,279172,43697.17,-1041.16
2026-06-02,Index Options,24630534,3756939.07,24739191,3775091.96,2139322,330975.9,-18152.89
2026-06-02,Stock Futures,450720,27613.62,355703,22401.95,7320239,456347.33,5211.67
2026-06-02,Stock Options,362432,22071.33,345896,21264.05,605782,38244.29,807.28
2026-06-01,Index Futures,10846,1698.66,32717,5105.41,276824,43170.67,-3406.75
2026-06-01,Index Options,9438471,1454786.85,9389174,1446979.22,2779133,426652.54,7807.63
2026-06-01,Stock Futures,304449,19513.34,310861,20046.0,7408352,457138.63,-532.66
2026-06-01,Stock Options,284219,18024.96,291107,18439.51,517726,32634.99,-414.55
2026-05-29,Index Futures,10275,1656.52,48572,7655.91,264757,41886.85,-5999.39
2026-05-29,Index Options,7017508,1094401.38,7056687,1099772.59,2600970,402408.27,-5371.21
2026-05-29,Stock Futures,741325,45943.66,733581,47073.79,7365604,460332.04,-1130.13
2026-05-29,Stock Options,322513,20421.79,340637,21683.15,449650,28525.2,-1261.36
2026-05-27,Index Futures,7792,1259.85,17939,2851.57,240740,38610.9,-1591.72
2026-05-27,Index Options,3543149,554682.58,3547295,555013.3,2159019,339005.3,-330.72
2026-05-27,Stock Futures,290470,18955.42,301089,19659.22,7452284,469032.79,-703.8
2026-05-27,Stock Options,252380,16071.2,259785,16577.34,347048,22290.28,-506.14
2026-05-26,Index Futures,31918,5098.7,52644,8362.25,229387,36850.67,-3263.55
2026-05-26,Index Options,21670897,3440544.8,21910333,3478562.51,1769228,278180.98,-38017.71
2026-05-26,Stock Futures,595489,38003.09,570933,36622.88,7411359,464329.99,1380.21
2026-05-26,Stock Options,237892,15305.37,266971,17326.88,253265,16299.68,-2021.51
2026-05-25,Index Futures,60499,9720.81,50484,8125.43,317357,50947.99,1595.38
2026-05-25,Index Options,8208191,1297756.48,8128579,1285074.46,3337091,529400.5,12682.02
2026-05-25,Stock Futures,1879403,118081.48,1844609,115597.36,7727712,484959.81,2484.12
2026-05-25,Stock Options,578967,39364.13,576120,39174.2,1100988,72687.37,189.93
2026-05-22,Index Futures,72238,11534.62,66040,10545.47,312052,49253.88,989.15
2026-05-22,Index Options,5690787,891073.54,5617160,879018.42,2928710,458670.19,12055.12
2026-05-22,Stock Futures,2728932,169457.57,2670076,164983.84,7729034,479369.65,4473.73
2026-05-22,Stock Options,829981,52766.61,827415,52402.64,1155731,75143.46,363.97
2026-05-21,Index Futures,34835,5600.9,43505,6950.05,302570,47395.9,-1349.15
2026-05-21,Index Options,5174288,804018.96,5172219,803332.82,2809846,437199.86,686.14
2026-05-21,Stock Futures,2594725,159884.28,2598525,159741.77,7736634,476278.32,142.51
2026-05-21,Stock Options,808626,52114.08,795871,51254.26,1170523,75482.05,859.82
2026-05-20,Index Futures,12474,1955.92,18714,2920.88,292706,45938.38,-964.96
2026-05-20,Index Options,4542269,706114.09,4608422,716249.46,2435035,379169.82,-10135.37
2026-05-20,Stock Futures,559444,34990.1,585110,35920.16,7785508,478173.87,-930.06
2026-05-20,Stock Options,746688,48315.94,754127,48634.87,1168434,75290.96,-318.93
2026-05-19,Index Futures,12958,2049.19,19372,3047.82,286756,44865.67,-998.63
2026-05-19,Index Options,20635541,3184215.11,20816453,3211466.15,2217183,344582.58,-27251.04
2026-05-19,Stock Futures,381303,24093.53,407653,25972.17,7713152,472447.0,-1878.64
2026-05-19,Stock Options,693571,44532.0,689122,44446.06,1192209,76623.75,85.94
2026-05-18,Index Futures,28182,4364.63,21541,3362.67,279710,43823.27,1001.96
2026-05-18,Index Options,10461032,1608003.87,10406956,1600256.49,3024351,468808.3,7747.38
2026-05-18,Stock Futures,350226,21917.31,359085,22496.35,7684266,468055.53,-579.04
2026-05-18,Stock Options,634355,40301.81,630762,40500.82,1139870,72679.27,-199.01
2026-05-15,Index Futures,26853,4188.02,17749,2794.84,288159,45123.02,1393.18
2026-05-15,Index Options,7248342,1124260.11,7261201,1126393.59,2739544,425175.17,-2133.48
2026-05-15,Stock Futures,333139,20741.67,344349,21940.1,7656067,467793.07,-1198.43
2026-05-15,Stock Options,547953,34494.04,538625,34525.75,1066067,68180.4,-31.71
2026-05-14,Index Futures,29109,4564.03,16846,2651.51,295759,46451.86,1912.52
2026-05-14,Index Options,4705278,727977.9,4747733,734634.84,2430007,378564.02,-6656.94
2026-05-14,Stock Futures,370362,23470.81,388497,23083.97,7617543,467464.42,386.84
2026-05-14,Stock Options,563978,36203.86,592470,37956.83,993829,63813.54,-1752.97
2026-05-13,Index Futures,17713,2767.16,18443,2894.74,303616,47144.32,-127.58
2026-05-13,Index Options,4230690,651824.36,4266600,657576.58,2331683,359072.26,-5752.22
2026-05-13,Stock Futures,392165,24810.45,365045,22731.28,7535946,460387.75,2079.17
2026-05-13,Stock Options,485948,31544.44,481337,31121.73,922559,59018.17,422.71
2026-05-12,Index Futures,16848,2623.34,33023,5131.16,304670,47236.3,-2507.82
2026-05-12,Index Options,18436209,2842619.23,18482668,2848379.49,2144896,330161.16,-5760.26
2026-05-12,Stock Futures,334981,21355.91,349280,22006.94,7490868,456049.31,-651.03
2026-05-12,Stock Options,451011,29242.74,450442,29127.44,856236,54638.53,115.3
