date,category,buy,sell,net
2026-06-04,FII/FPI,14012.52,18459.58,-4447.06
2026-06-04,DII,16824.35,12464.21,4360.14
2026-06-03,FII/FPI,17053.63,22670.19,-5616.56
2026-06-03,DII,17530.0,11789.11,5740.89
2026-06-02,FII/FPI,16955.9,25318.82,-8362.92
2026-06-02,DII,22508.77,12919.45,9589.32
2026-06-01,FII/FPI,17725.89,21637.57,-3911.68
2026-06-01,DII,15226.29,10117.16,5109.13
2026-05-29,FII/FPI,89733.64,110839.5,-21105.86
2026-05-29,DII,36999.7,20235.56,16764.14
2026-05-27,FII/FPI,11418.65,12461.35,-1042.7
2026-05-27,DII,16893.1,13072.1,3821.0
2026-05-26,FII/FPI,13127.02,15534.89,-2407.87
2026-05-26,DII,15536.74,14175.31,1361.43
2026-05-25,FII/FPI,12083.12,11261.37,821.75
2026-05-25,DII,16434.96,12578.08,3856.88
2026-05-22,FII/FPI,10972.76,15413.23,-4440.47
2026-05-22,DII,18436.72,12433.19,6003.53
2026-05-21,FII/FPI,12322.16,14213.37,-1891.21
2026-05-21,DII,15857.03,13364.61,2492.42
2026-05-20,FII/FPI,14139.56,15736.91,-1597.35
2026-05-20,DII,16000.79,14032.44,1968.35
2026-05-19,FII/FPI,17907.55,20365.04,-2457.49
2026-05-19,DII,16951.95,13150.27,3801.68
2026-05-18,FII/FPI,17222.18,14408.49,2813.69
2026-05-18,DII,16844.94,14162.82,2682.12
2026-05-15,FII/FPI,16299.6,14970.43,1329.17
2026-05-15,DII,14961.88,16920.7,-1958.82
2026-05-14,FII/FPI,17350.56,17163.1,187.46
2026-05-14,DII,18255.96,17571.63,684.33
2026-05-13,FII/FPI,14373.99,19077.14,-4703.15
2026-05-13,DII,18872.65,13003.6,5869.05
2026-05-12,FII/FPI,16555.27,18514.66,-1959.39
2026-05-12,DII,20684.82,12694.5,7990.32
2026-05-11,FII/FPI,12813.74,21251.3,-8437.56
2026-05-11,DII,21626.43,15686.78,5939.65
2026-05-08,FII/FPI,15083.49,19194.09,-4110.6
2026-05-08,DII,21296.87,14548.74,6748.13
2026-05-07,FII/FPI,17997.95,18338.84,-340.89
2026-05-07,DII,17032.05,16590.98,441.07
2026-05-06,FII/FPI,14459.21,20294.11,-5834.9
2026-05-06,DII,22888.16,16051.29,6836.87
2026-05-05,FII/FPI,10392.91,14014.49,-3621.58
2026-05-05,DII,16234.31,13631.69,2602.62
2026-05-04,FII/FPI,19660.47,16824.85,2835.62
2026-05-04,DII,19516.11,14751.95,4764.16
2026-04-30,FII/FPI,15049.55,23097.41,-8047.86
2026-04-30,DII,18252.89,14765.79,3487.1
2026-04-29,FII/FPI,14271.22,16739.64,-2468.42
2026-04-29,DII,17232.28,14970.11,2262.17
2026-04-28,FII/FPI,17231.5,19335.24,-2103.74
2026-04-28,DII,18044.05,16332.04,1712.01
2026-04-27,FII/FPI,30263.32,31414.8,-1151.48
2026-04-27,DII,19978.34,15854.42,4123.92
2026-04-24,FII/FPI,9837.2,18665.07,-8827.87
2026-04-24,DII,21560.16,16859.45,4700.71
2026-04-23,FII/FPI,12829.12,16083.83,-3254.71
2026-04-23,DII,18498.19,17556.84,941.35
2026-06-05,DII,22779.32,13645.75,9133.57
2026-06-05,FII/FPI,11044.57,19820.82,-8776.25
